,MAE,RMSE,Pearson,Spearman,R2,Bias,ErrSD,AbsBias,run_SD,MAE_vs_humans,ICC_as_4th,COMPOSITE
claude-opus-4-6,0.3853333333333333,0.4645906202717016,0.6713377183306642,0.6856888697552879,-1.362110894941634,-0.37199999999999994,0.28405626724816857,0.37199999999999994,0.06618802153517006,0.4093333333333333,0.4254074827968587,0.8586998982720706
claude-sonnet-4-6,0.386,0.46076024134033094,0.6348527176159231,0.6483296941621506,-1.3233219844357977,-0.3726666666666667,0.2765478325782065,0.3726666666666667,0.077610030786161,0.4202222222222222,0.4079898561552302,0.7960119669416685
gemini-2.5-flash,0.4186666666666666,0.5535140267217966,0.6902176988324581,0.7221832916178407,-2.352869649805447,-0.4053333333333333,0.38471129146124344,0.4053333333333333,0.1719490689481659,0.4408888888888889,0.4263694855617064,0.6404582170434826
claude-haiku-4-5-20251001,0.3393333333333333,0.41575901139428784,0.4641764279776202,0.35682046362818515,-0.8916585603112843,-0.2646666666666667,0.32724721655155564,0.2646666666666667,0.11896763261506628,0.39888888888888885,0.39674362003570823,0.6177493831162889
gemini-2.5-pro,0.4233333333333333,0.5937171043518958,0.6343783932067998,0.6788151854280522,-2.8576118677042794,-0.39666666666666667,0.4508736375494103,0.39666666666666667,0.10392304845413264,0.45,0.40680473372781084,0.5620169999481001
gpt-4o,0.5066666666666666,0.557773351022717,0.6157872638964902,0.6559477224114684,-2.4046692607003886,-0.49333333333333335,0.26562295750848713,0.49333333333333335,0.20784609690826528,0.5244444444444445,0.3423880949568918,0.4020034241432098
gpt-5,0.544,0.6631406755399306,0.5898896008767602,0.617234934527603,-3.812499999999999,-0.524,0.4148036126132908,0.524,0.10563576333529102,0.5542222222222222,0.34712890463714374,0.2801994589846734
