model_s,count,mean,median,min,max
gpt-4o,15,7.432601626714071,7.117674827575684,6.01245641708374,9.352270364761353
claude-haiku-4-5-20251001,15,20.00340944925944,19.76348567008972,17.437619924545288,24.603041410446167
gemini-2.5-flash,15,28.4904394308726,28.15306782722473,21.056342363357544,40.02091717720032
gemini-2.5-pro,15,31.2909827709198,31.10100769996643,27.321840524673465,38.01461052894592
claude-opus-4-6,15,37.93125629425049,36.07068967819214,30.666850566864014,51.08142423629761
claude-sonnet-4-6,15,38.79322435061137,38.51453375816345,31.69872999191284,49.48707938194275
gpt-5,15,88.00343230565389,89.56207084655762,53.59616112709045,108.94745588302612
