model,MAE_vs_H1,MAE_vs_H2,MAE_vs_H3,MAE_vs_human_mean,human_ceiling(mean HH MAE),within_human?
claude-haiku-4-5-20251001,0.42333333333333334,0.36599999999999994,0.4073333333333333,0.39888888888888885,0.22666666666666666,no
claude-opus-4-6,0.48533333333333334,0.29733333333333334,0.4453333333333333,0.4093333333333333,0.22666666666666666,no
claude-sonnet-4-6,0.49133333333333334,0.32333333333333336,0.446,0.4202222222222222,0.22666666666666666,no
gemini-2.5-flash,0.5186666666666667,0.31866666666666665,0.48533333333333334,0.4408888888888889,0.22666666666666666,no
gemini-2.5-pro,0.5366666666666666,0.33,0.4833333333333333,0.45,0.22666666666666666,no
gpt-4o,0.6066666666666667,0.4,0.5666666666666667,0.5244444444444445,0.22666666666666666,no
gpt-5,0.6373333333333333,0.408,0.6173333333333333,0.5542222222222222,0.22666666666666666,no
