model,ICC21_with_LLM,ICC2k_with_LLM,Kripp_alpha_with_LLM,ICC21_drop_vs_human
gemini-2.5-flash,0.4263694855617064,0.7483092510337931,0.3806754536933925,-0.07722763674045174
claude-opus-4-6,0.4254074827968587,0.7475675026360398,0.3759246704783389,-0.07818963950529945
claude-sonnet-4-6,0.4079898561552302,0.7338047461444378,0.35539980407811256,-0.09560726614692794
gemini-2.5-pro,0.40680473372781084,0.7328447701532314,0.36373893727301576,-0.0967923885743473
claude-haiku-4-5-20251001,0.39674362003570823,0.7245695004339466,0.35633454857929947,-0.1068535022664499
gpt-5,0.34712890463714374,0.6801825489929282,0.2807388419586365,-0.1564682176650144
gpt-4o,0.3423880949568918,0.6756000932183643,0.2653061224489798,-0.16120902734526632
