model,MAE,MAE_CI95,Bias,Bias_CI95,bias_CI_excl_0,ICC_as_4th,ICC_CI95
claude-haiku-4-5-20251001,0.339,"[0.25, 0.44]",-0.265,"[-0.39, -0.14]",YES,0.397,"[0.17, 0.63]"
claude-opus-4-6,0.385,"[0.28, 0.49]",-0.372,"[-0.48, -0.26]",YES,0.425,"[0.16, 0.66]"
claude-sonnet-4-6,0.386,"[0.29, 0.49]",-0.373,"[-0.49, -0.27]",YES,0.408,"[0.15, 0.65]"
gemini-2.5-flash,0.419,"[0.29, 0.58]",-0.405,"[-0.56, -0.27]",YES,0.426,"[0.18, 0.66]"
gemini-2.5-pro,0.423,"[0.27, 0.60]",-0.397,"[-0.58, -0.23]",YES,0.407,"[0.17, 0.64]"
gpt-4o,0.507,"[0.41, 0.60]",-0.493,"[-0.60, -0.39]",YES,0.342,"[0.09, 0.60]"
gpt-5,0.544,"[0.40, 0.70]",-0.524,"[-0.68, -0.37]",YES,0.347,"[0.11, 0.60]"
