model,MAE,RMSE,Pearson,Spearman,R2,Bias,ErrSD,AbsBias,ICC_as_4th,MAE_vs_TAs,human_ratio,run_SD,COMPOSITE
Claude Opus,3.147916666666666,4.691264022823972,0.8791290649332684,0.8179741919592264,0.753465290565448,-0.7187499999999999,4.644521745760668,0.7187499999999999,0.8651772231444085,3.115231481481482,2.7991596988227463,0.7650694870714674,0.9781414115646491
Claude Sonnet,3.3155092592592594,4.853265692271516,0.8723201734995064,0.8109371336817522,0.7360035659880664,-1.0770833333333332,4.741538733838013,1.0770833333333332,0.8636161475397938,3.254398148148148,2.9242064977744495,0.8834187092443323,0.8950940569880862
Gemini 2.5 Pro,3.594444444444445,5.739115472782117,0.830744259784149,0.7467709505311021,0.628135797970215,-0.34305555555555545,5.739156509579918,0.34305555555555545,0.8256166735447804,3.479583333333333,3.126544365406214,1.3761059958728403,0.6196484594578745
Gemini 2.5 Flash,3.725462962962963,5.812552312560189,0.828634829666932,0.7503318097624533,0.6209821697139257,-0.41111111111111104,5.807104702627833,0.41111111111111104,0.8146389714229746,3.644490740740741,3.2747202462664835,1.5818008937114092,0.5511813017340454
GPT-5,3.9560185185185186,6.144656421079364,0.8095639694151672,0.7210470690240354,0.5767489556848018,-0.9041666666666665,6.089842771911212,0.9041666666666665,0.8046811326630895,3.871157407407407,3.478389284080036,1.0273421009903985,0.48859353998111477
Claude Haiku,3.945370370370371,6.191940105687864,0.8043620200412497,0.7619519208160331,0.5704581710360449,-2.2527777777777778,5.779472898569793,2.2527777777777778,0.8240538494714219,3.772731481481482,3.389949665127501,0.9936599076128355,0.476676272394026
GPT-4o,4.891435185185185,6.868234203240694,0.7656852950120537,0.6515645537675109,0.47150018704668833,-1.5951388888888889,6.690517681760106,1.5951388888888889,0.7471091659282988,4.824953703703704,4.3354132867423765,1.1469974657359046,0.09741486638071636
